data,Casos,Obitos
2020-03-27,3417,92
2020-03-28,3903,114
2020-03-29,4256,136
2020-03-30,4579,159
2020-03-31,5717,201
2020-04-01,6834,241
2020-04-02,7910,299
2020-04-03,9056,359
2020-04-04,10278,432
2020-04-05,11130,486
2020-04-06,12056,553
2020-04-07,13717,667
2020-04-08,15927,800
2020-04-09,17857,941
2020-04-10,19638,1056
2020-04-11,20727,1124
2020-04-12,22169,1223
2020-04-13,23430,1328
2020-04-14,25262,1532
2020-04-15,28320,1736
2020-04-16,30425,1924
2020-04-17,33682,2141
2020-04-18,36599,2347
2020-04-19,38654,2462
2020-04-20,40581,2575
2020-04-21,43079,2741
2020-04-22,45757,2906
2020-04-23,49492,3313
2020-04-24,52995,3670
2020-04-25,58509,4016
2020-04-26,61888,4205
2020-04-27,66501,4543
2020-04-28,71886,5017
2020-04-29,78162,5466
2020-04-30,85380,5901
2020-05-01,91299,6329
2020-05-02,96396,6724
2020-05-03,101147,7025
2020-05-04,107780,7321
2020-05-05,114715,7921
2020-05-06,125218,8535
2020-05-07,135106,9146
2020-05-08,145328,9897
2020-05-09,155939,10627
2020-05-10,162699,11123
2020-05-11,168331,11519
2020-05-12,177589,12400
2020-05-13,188974,13149
2020-05-14,202918,13993
2020-05-15,218223,14817
2020-05-16,233142,15633
2020-05-17,241080,16118
2020-05-18,254220,16792
2020-05-19,271628,17971
2020-05-20,291579,18859
2020-05-21,310087,20047
2020-05-22,330890,21048
2020-05-23,347398,22013
